Model,Task,Horizon,Train_Records,Features,MAE,RMSE,R2,Train_Time_s
DummyRegressor,Fill Prediction (6h),6h,588722,60,19.76801300048828,25.03118904096822,-0.004375576972961426,0.05
HistGradientBoostingRegressor,Fill Prediction (6h),6h,588722,60,8.024755813327163,13.166222270612344,0.7221211104300764,25.88
DummyRegressor,Fill Prediction (12h),12h,588722,60,19.765378952026367,25.02635329757414,-0.004435896873474121,0.05
HistGradientBoostingRegressor,Fill Prediction (12h),12h,588722,60,10.795852987852996,15.944828707017168,0.5922755026423201,21.49
DummyRegressor,Fill Prediction (24h),24h,588722,60,19.740816116333008,24.998078539441035,-0.004545688629150391,0.05
HistGradientBoostingRegressor,Fill Prediction (24h),24h,588722,60,10.751901509850768,16.0994785001955,0.5833417276459048,22.22
